date,mkt,rf,mktrf,smb,hml
20041222,0.00397,,0.0039,0.0004,-0.0015
20041223,0.0009699999999999999,,0.0009,0.0022,-0.0021
20041227,-0.00443,,-0.0045,-0.0021,0.0002
20041228,0.00837,,0.0083,0.0077,-0.0015
20041229,0.00017,,0.0001,-0.0005,-0.0003
20041230,0.00047000000000000004,,0.0004,-0.0003,-0.0011
20041231,-0.00133,,-0.0014,-0.0001,0.002
20050103,-0.00962,,-0.0097,-0.0062,-0.0004
20050104,-0.012920000000000001,,-0.013000000000000001,-0.0059,0.0042
20050105,-0.00502,,-0.0051,-0.0111,0.0001
20050106,0.00348,,0.0034,-0.0014,0.0014
20050107,-0.00212,,-0.0022,-0.0076,-0.0002
20050110,0.00428,,0.0042,0.0028,0.0005
20050111,-0.006719999999999999,,-0.0068,-0.0035,0.003
20050112,0.00388,,0.0038,-0.0005,-0.0016
20050113,-0.00762,,-0.0077,0.0013,0.0038
20050114,0.00668,,0.0066,0.0055,0.0007
20050118,0.00978,,0.0097,0.0017,-0.0017
20050119,-0.00962,,-0.0097,-0.0014,0.0049
20050120,-0.00762,,-0.0077,-0.0012,-0.0006
20050121,-0.00552,,-0.0056,0.003,0.0025
20050124,-0.00482,,-0.0049,-0.0079,0.0061
20050125,0.00348,,0.0034,0.0019,-0.0037
20050126,0.00628,,0.0062,0.0095,-0.0021
20050127,0.00088,,0.0008,0.0017,0.0003
20050128,-0.00292,,-0.003,-0.0026,0.0018
20050131,0.00978,,0.0097,0.0078,0.0016
20050201,0.00699,,0.0069,-0.0009,0.0019
20050202,0.0036899999999999997,,0.0036,0.0024,0.0016
20050203,-0.0026100000000000003,,-0.0027,-0.0016,0.0039
20050204,0.01129,,0.0112,0.0013,-0.0054
20050207,-0.00101,,-0.0011,0.0013,-0.0003
20050208,0.0008900000000000001,,0.0008,0.0024,-0.0016
20050209,-0.00991,,-0.01,-0.0118,0.0072
20050210,0.00359,,0.0035,-0.0034,0.0006
20050211,0.00779,,0.0077,0.0044,-0.0031
20050214,0.00099,,0.0009,-0.0001,0.0014
20050215,0.0028899999999999998,,0.0028,-0.0036,-0.0001
20050216,0.00079,,0.0007,0.0042,0.004
20050217,-0.007810000000000001,,-0.0079,-0.0029,0.0021
20050218,0.00019,,0.0001,-0.0008,-0.0004
20050222,-0.01461,,-0.0147,-0.0032,-0.0012
20050223,0.00539,,0.0053,-0.0013,0.0024
20050224,0.00839,,0.0083,0.0024,-0.0024
20050225,0.00979,,0.0097,0.0038,0.0038
20050228,-0.006010000000000001,,-0.0061,0.0027,0.0004
20050301,0.0059,,0.0058,0.0011,0.0002
20050302,0.0,,-0.0001,-0.0017,0.0004
20050303,0.0,,-0.0001,0.0008,0.0054
20050304,0.009,,0.0089,-0.0002,0.0032
20050307,0.0028,,0.0027,-0.0038,0.0
20050308,-0.0053,,-0.0054,-0.0041,-0.0007
20050309,-0.0095,,-0.0096,0.0005,-0.0007
20050310,0.0002,,0.0001,-0.0083,-0.0022
20050311,-0.005399999999999999,,-0.0055,0.0056,0.0052
20050314,0.006200000000000001,,0.0061,-0.0023,0.0011
20050315,-0.0066,,-0.0067,0.0019,0.0027
20050316,-0.0083,,-0.0084,0.0021,0.0011
20050317,0.002,,0.0019,0.0005,0.0051
20050318,-0.0012,,-0.0013,-0.0032,-0.0004
20050321,-0.0037,,-0.0038,0.0037,-0.002
20050322,-0.0091,,-0.0092,0.0069,-0.0012
20050323,-0.0010999999999999998,,-0.0012,-0.009000000000000001,-0.0051
20050324,0.0002,,0.0001,0.0045,-0.0008
20050328,0.0016,,0.0015,-0.0023,-0.0003
20050329,-0.0085,,-0.0086,-0.0083,0.0006
20050330,0.0136,,0.0135,0.0012,-0.0022
20050331,0.0001,,0.0,-0.0005,0.0064
20050401,-0.0063,,-0.0064,0.0001,0.0043
20050404,0.0029999999999999996,,0.0029,0.0,0.0019
20050405,0.0041,,0.004,-0.0015,-0.0024
20050406,0.0023,,0.0022,-0.0011,0.0004
20050407,0.0058000000000000005,,0.0057,0.0001,-0.0017
20050408,-0.008700000000000001,,-0.0088,-0.0045,0.0004
20050411,-0.0007999999999999999,,-0.0009,-0.0065,0.0002
20050412,0.0057,,0.0056,0.0024,-0.0009
20050413,-0.012100000000000001,,-0.0122,-0.0034,-0.0017
20050414,-0.010900000000000002,,-0.011000000000000001,-0.0056,-0.0026
20050415,-0.0158,,-0.0159,-0.0013,-0.0037
20050418,0.0029999999999999996,,0.0029,0.0032,0.0023
20050419,0.0076,,0.0075,0.0082,0.0012
20050420,-0.0134,,-0.0135,-0.0023,0.0006
20050421,0.0188,,0.0187,0.0033,-0.0056
20050422,-0.0082,,-0.0083,-0.0084,0.0043
20050425,0.009399999999999999,,0.0093,0.0006,0.0
20050426,-0.008700000000000001,,-0.0088,-0.0052,-0.0013
20050427,0.0031,,0.003,-0.0054,-0.0025
20050428,-0.0119,,-0.012,-0.0099,0.0036
20050429,0.010499999999999999,,0.0104,-0.004,-0.0004
20050502,0.00531,,0.0052,0.0048,0.0006
